cohort,seed,candidate_build,published_build,PlayerID,status,Name,Team,Age,Baseline,CandidateMeanDelta,PublishedMeanDelta,DeltaDifference,CandidateMeanOvr,PublishedMeanOvr,OvrDifference,CandidateStdDelta,PublishedStdDelta
sample,42,20260919031636,20260919031637,146,shared,Luol Deng,HOU,33,63.0,-0.7,-1.1,0.40000000000000013,62.3,61.9,0.3999999999999986,0.8226589066968621,0.6590473688161075
sample,42,20260919031636,20260919031637,157,shared,Goran Dragić,HOU,32,62.0,-0.14,-0.95,0.8099999999999999,61.86,61.05,0.8100000000000023,0.9213516640723503,0.7571210756756961
sample,42,20260919031636,20260919031637,164,shared,Kevin Durant (PO),OKC,30,72.0,-0.21,1.51,-1.72,71.79,73.51,-1.7199999999999989,0.8323630715188433,0.7976607212735412
sample,42,20260919031636,20260919031637,168,shared,Monta Ellis (PO),GSW,33,66.0,-1.19,-0.81,-0.3799999999999999,64.81,65.19,-0.37999999999999545,0.8127146181194543,0.7343656645656367
sample,42,20260919031636,20260919031637,178,shared,Tyreke Evans (PO),CHI,29,66.0,-0.05,0.99,-1.04,65.95,66.99,-1.039999999999992,0.8918825850158446,0.7316095442601369
sample,42,20260919031636,20260919031637,181,shared,Kenneth Faried,DEN,29,57.0,-0.49,0.45,-0.94,56.51,57.45,-0.9400000000000048,1.2831070245165195,0.5751591786697668
sample,42,20260919031636,20260919031637,182,shared,Jordan Farmar,POR,32,56.0,-1.59,-2.05,0.45999999999999974,54.41,53.95,0.45999999999999375,1.2151817422372122,0.8572330399888264
sample,42,20260919031636,20260919031637,183,shared,Derrick Favors,WAS,27,63.0,0.01,0.93,-0.92,63.01,63.93,-0.9200000000000017,0.9373829893308647,1.0372360318936988
sample,42,20260919031636,20260919031637,187,shared,Landry Fields (PO),HOU,30,58.0,-0.82,0.06,-0.8799999999999999,57.18,58.06,-0.8800000000000026,0.9143082609052573,0.7496800664418135
sample,42,20260919031636,20260919031637,198,shared,Channing Frye,DET,35,56.0,-2.9,-4.7,1.8000000000000003,53.1,51.3,1.8000000000000043,1.5986105077709065,1.3816985594155153
sample,42,20260919031636,20260919031637,201,shared,Sundiata Gaines,OKC,32,54.0,-1.62,-2.78,1.1599999999999997,52.38,51.22,1.1600000000000037,2.4027761721253467,1.1243853539789748
sample,42,20260919031636,20260919031637,203,shared,Danilo Gallinari (PO),LAC,30,65.0,-0.81,1.06,-1.87,64.19,66.06,-1.8700000000000045,0.9502259167846838,0.80176572814525
sample,42,20260919031636,20260919031637,206,shared,Marc Gasol (PO),CLE,33,64.0,-1.32,-0.93,-0.39,62.68,63.07,-0.39000000000000057,0.8747871313939893,0.6236905474591539
sample,42,20260919031636,20260919031637,208,shared,Rudy Gay,DEN,32,70.0,-1.48,-2.08,0.6000000000000001,68.52,67.92,0.5999999999999943,0.6739001514626735,0.6618004215621185
sample,42,20260919031636,20260919031637,209,shared,Alonzo Gee,IND,31,61.0,-0.54,-1.32,0.78,60.46,59.68,0.7800000000000011,0.9036402251812701,0.6175873552900363
sample,42,20260919031636,20260919031637,211,shared,Paul George,LAC,28,70.0,-0.6,0.71,-1.31,69.4,70.71,-1.309999999999988,0.8761716542303614,0.6860073327640607
sample,42,20260919031636,20260919031637,223,shared,Eric Gordon (PO),OKC,30,59.0,-0.48,0.38,-0.86,58.52,59.38,-0.8599999999999994,1.049097736441205,0.7625051746802387
sample,42,20260919031636,20260919031637,224,shared,Marcin Gortat,IND,34,60.0,-1.89,-1.57,-0.31999999999999984,58.11,58.43,-0.3200000000000003,0.8274946977156257,0.6236905474591539
sample,42,20260919031636,20260919031637,226,shared,Danny Granger,CHA,35,58.0,-2.55,-3.23,0.6800000000000002,55.45,54.77,0.6799999999999997,0.8918825850158447,0.8744984132332516
sample,42,20260919031636,20260919031637,228,shared,Danny Green,HOU,31,59.0,-1.32,-1.76,0.43999999999999995,57.68,57.24,0.4399999999999977,0.908767619283712,0.8542230210530325
sample,42,20260919031636,20260919031637,229,shared,Donté Greene (PO),SAC,30,59.0,-0.56,0.12,-0.68,58.44,59.12,-0.6799999999999997,1.15749642755301,0.7423685817106698
sample,42,20260919031636,20260919031637,231,shared,Jeff Green,HOU,32,56.0,-0.69,-0.59,-0.09999999999999998,55.31,55.41,-0.09999999999999432,1.0702119114238708,0.8052228501376736
sample,42,20260919031636,20260919031637,234,shared,Blake Griffin (PO),DET,29,66.0,-0.16,1.11,-1.27,65.84,67.11,-1.269999999999996,0.9289942427325925,0.7371114795831993
sample,42,20260919031636,20260919031637,243,shared,James Harden (PO),DET,29,73.0,0.1,0.63,-0.53,73.1,73.63,-0.5300000000000011,0.7719841941125452,0.8605260312768291
sample,42,20260919031636,20260919031637,245,shared,Josh Harrellson,SA,29,56.0,-0.97,-0.85,-0.12,55.03,55.15,-0.11999999999999744,1.9871048937048736,0.9031370691409835
sample,42,20260919031636,20260919031637,247,shared,Devin Harris,MIA,35,56.0,-3.12,-4.43,1.3099999999999996,52.88,51.57,1.3100000000000023,1.865584101670048,1.335263754068571
sample,42,20260919031636,20260919031637,248,shared,Manny Harris,WAS,29,66.0,-0.11,1.13,-1.24,65.89,67.13,-1.2399999999999949,0.8396127053287693,1.0977939310961393
sample,42,20260919031636,20260919031637,258,shared,Gordon Hayward,UTA,28,73.0,-0.25,1.07,-1.32,72.75,74.07,-1.3199999999999932,0.8333333333333331,0.7555184185763313
sample,42,20260919031636,20260919031637,265,shared,Roy Hibbert,SA,32,61.0,-1.15,-1.38,0.22999999999999998,59.85,59.62,0.23000000000000398,0.9360890055238478,0.7625051746802387
sample,42,20260919031636,20260919031637,269,shared,George Hill,GSW,32,54.0,-1.99,-2.84,0.8499999999999999,52.01,51.16,0.8500000000000014,2.0670332030778464,1.426445748967508
sample,42,20260919031636,20260919031637,271,shared,Jordan Hill,DAL,31,61.0,-1.12,-1.28,0.15999999999999992,59.88,59.72,0.1600000000000037,0.8321810214882654,0.7664690127296389
sample,42,20260919031636,20260919031637,274,shared,Jrue Holiday (PO),CLE,28,71.0,0.22,0.55,-0.33000000000000007,71.22,71.55,-0.3299999999999983,0.8358144881406749,0.6571287406727709
sample,42,20260919031636,20260919031637,277,shared,Al Horford,DAL,32,61.0,-0.17,-0.2,0.03,60.83,60.8,0.030000000000001137,0.865208563634144,0.6030226891555273
sample,42,20260919031636,20260919031637,280,shared,Dwight Howard (PO),WAS,33,74.0,-0.32,-0.3,-0.020000000000000018,73.68,73.7,-0.01999999999999602,0.8394322275481592,0.6435381994422816
sample,42,20260919031636,20260919031637,287,shared,Kris Humphries (PO),NYK,33,57.0,-1.67,-1.37,-0.2999999999999998,55.33,55.63,-0.30000000000000426,0.9540450828980882,0.7740096311357559
sample,42,20260919031636,20260919031637,289,shared,Andre Iguodala (PO),LAC,34,65.0,-1.42,-1.23,-0.18999999999999995,63.58,63.77,-0.19000000000000483,0.8782443460183113,0.7227193316379688
sample,42,20260919031636,20260919031637,290,shared,Ersan İlyasova (PO),OKC,31,65.0,-0.44,-0.76,0.32,64.56,64.24,0.3200000000000074,0.967345634071698,0.726413634010794
sample,42,20260919031636,20260919031637,291,shared,Kyrie Irving,MIN,26,68.0,2.24,1.16,1.0800000000000003,70.24,69.16,1.0799999999999983,0.8659670836117214,0.7347094526395994
sample,42,20260919031636,20260919031637,295,shared,Jarrett Jack,NOL,35,52.0,-4.37,-6.83,2.46,47.63,45.17,2.460000000000001,1.541709663610074,1.511270787760881
sample,42,20260919031636,20260919031637,299,shared,LeBron James (PO),CLE,34,76.0,-0.87,-0.17,-0.7,75.13,75.83,-0.7000000000000028,0.7869516689688949,0.4725815626252608
sample,42,20260919031636,20260919031637,303,shared,Al Jefferson (PO),WAS,33,63.0,-1.26,-1.45,0.18999999999999995,61.74,61.55,0.19000000000000483,1.0882290311521854,0.6256309946079567
sample,42,20260919031636,20260919031637,308,shared,Brandon Jennings (PO),IND,29,66.0,0.28,1.16,-0.8799999999999999,66.28,67.16,-0.8799999999999955,0.8885352832020512,0.7066781016799227
sample,42,20260919031636,20260919031637,309,shared,Jonas Jerebko (TO),CHI,31,64.0,-0.76,-0.7,-0.06000000000000005,63.24,63.3,-0.05999999999999517,0.7800543881581904,0.674199862463242
sample,42,20260919031636,20260919031637,318,shared,James Johnson,HOU,31,58.0,-0.79,-2.98,2.19,57.21,55.02,2.1899999999999977,0.924361641590803,0.619220755009345
sample,42,20260919031636,20260919031637,320,shared,Joe Johnson (PO),TOR,37,58.0,-3.35,-3.61,0.2599999999999998,54.65,54.39,0.259999999999998,1.297822574292586,0.9199802369418791
sample,42,20260919031636,20260919031637,332,shared,DeAndre Jordan,SAC,30,58.0,-1.0,-0.08,-0.92,57.0,57.92,-0.9200000000000017,1.1101005505463153,0.7341593144474153
sample,42,20260919031636,20260919031637,337,shared,Enes Kanter,LAL,26,66.0,1.26,1.28,-0.020000000000000018,67.26,67.28,-0.01999999999999602,0.8601150968318017,0.8050346626579554
sample,42,20260919031636,20260919031637,342,shared,Andrei Kirilenko,UTA,37,55.0,-6.98,-7.4,0.41999999999999993,48.02,47.6,0.4200000000000017,1.5826074891287685,1.5763402186230246
sample,42,20260919031636,20260919031637,343,shared,Linas Kleiza (PO),LAL,33,61.0,-2.09,-1.58,-0.5099999999999998,58.91,59.42,-0.5100000000000051,0.8656754238130704,0.8062884162016778
sample,42,20260919031636,20260919031637,344,shared,Brandon Knight,CHA,27,67.0,0.25,0.94,-0.69,67.25,67.94,-0.6899999999999977,0.7571210756756963,0.7630348761506398
sample,42,20260919031636,20260919031637,346,shared,Kosta Koufos (TO),LAC,29,61.0,-0.39,0.94,-1.33,60.61,61.94,-1.3299999999999983,1.003981970943601,0.6327748733981465
sample,42,20260919031636,20260919031637,350,shared,Ty Lawson,DEN,31,68.0,-0.39,-1.34,0.9500000000000001,67.61,66.66,0.9500000000000028,0.7506899183653353,0.7941706810925915
sample,42,20260919031636,20260919031637,351,shared,Courtney Lee,SAC,33,57.0,-2.0,-1.71,-0.29000000000000004,55.0,55.29,-0.28999999999999915,1.2792042981336624,0.9877532918986229
sample,42,20260919031636,20260919031637,352,shared,David Lee,DET,35,57.0,-3.44,-4.41,0.9700000000000002,53.56,52.59,0.9699999999999989,1.4093482984211625,1.4148919364810844
sample,42,20260919031636,20260919031637,354,shared,Kawhi Leonard,SA,27,75.0,0.16,0.6,-0.43999999999999995,75.16,75.6,-0.4399999999999977,0.8957813586050127,0.6513389472789298
sample,42,20260919031636,20260919031637,359,shared,Jeremy Lin,MIA,30,57.0,-0.47,0.33,-0.8,56.53,57.33,-0.7999999999999972,1.1051303684693181,0.7792122414154677
sample,42,20260919031636,20260919031637,361,shared,Brook Lopez (TO),UTA,30,62.0,-0.83,0.89,-1.72,61.17,62.89,-1.7199999999999989,0.8882510337679876,0.723278171336114
sample,42,20260919031636,20260919031637,362,shared,Robin Lopez,DET,30,54.0,-1.74,-1.33,-0.4099999999999999,52.26,52.67,-0.4100000000000037,2.1207012371792815,1.2796385221908362
sample,42,20260919031636,20260919031637,363,shared,Kevin Love (PO),SAC,30,77.0,0.34,1.26,-0.9199999999999999,77.34,78.26,-0.9200000000000017,0.6849021164304496,0.4631905164675272
sample,42,20260919031636,20260919031637,365,shared,Kyle Lowry,SA,32,65.0,0.12,-0.82,0.94,65.12,64.18,0.9399999999999977,0.9020739291972547,0.7300200633744891
sample,42,20260919031636,20260919031637,381,shared,Kevin Martin (PO),HOU,35,64.0,-1.7,-2.44,0.74,62.3,61.56,0.7399999999999949,0.8703882797784891,0.6714976477316142
sample,42,20260919031636,20260919031637,384,shared,Wesley Matthews (PO),WAS,32,64.0,-1.34,-1.9,0.5599999999999998,62.66,62.1,0.5599999999999952,0.976698210267324,0.9481507786158797
sample,42,20260919031636,20260919031637,387,shared,O.J. Mayo (PO),LAC,31,62.0,-0.73,-1.35,0.6200000000000001,61.27,60.65,0.6200000000000045,0.9832434473555758,0.701729465267237
sample,42,20260919031636,20260919031637,388,shared,Luc Mbah a Moute,MEM,32,53.0,-2.54,-1.91,-0.6300000000000001,50.46,51.09,-0.6300000000000026,2.430529725692477,1.1899834478095086
sample,42,20260919031636,20260919031637,390,shared,JaVale McGee (PO),MIA,30,60.0,-0.64,0.64,-1.28,59.36,60.64,-1.2800000000000011,0.91585363393278,0.7456269817808339
sample,42,20260919031636,20260919031637,397,shared,Jodie Meeks,POR,31,52.0,-2.09,-2.61,0.52,49.91,49.39,0.519999999999996,2.5309997226312757,1.4276844288157058
sample,42,20260919031636,20260919031637,406,shared,Paul Millsap (PO),UTA,33,68.0,-1.14,-0.69,-0.44999999999999996,66.86,67.31,-0.45000000000000284,0.738822431886435,0.5807518637703432
sample,42,20260919031636,20260919031637,412,shared,Greg Monroe,UTA,28,56.0,0.03,1.15,-1.1199999999999999,56.03,57.15,-1.1199999999999974,2.162373368745228,0.7017294652672372
sample,42,20260919031636,20260919031637,414,shared,E'Twaun Moore,LAL,29,40.0,-1.18,-3.74,2.5600000000000005,38.82,36.26,2.5600000000000023,4.139926315647406,3.8022321992442407
sample,42,20260919031636,20260919031637,416,shared,Darius Morris (PO),WAS,27,59.0,-0.14,-0.03,-0.11000000000000001,58.86,58.97,-0.10999999999999943,1.5375436267112568,0.7713951678941897
sample,42,20260919031636,20260919031637,419,shared,Anthony Morrow,OKC,33,57.0,-1.82,-1.84,0.020000000000000018,55.18,55.16,0.020000000000003126,1.2900552020136284,0.8375047112787736
sample,42,20260919031636,20260919031637,432,shared,Joakim Noah (PO),MEM,33,62.0,-0.9,-0.1,-0.8,61.1,61.9,-0.7999999999999972,0.8468599159080072,0.6590473688161074
sample,42,20260919031636,20260919031637,434,shared,Steve Novak,DET,35,53.0,-3.69,-6.12,2.43,49.31,46.88,2.4299999999999997,2.980390456421318,1.2814133611056977
sample,42,20260919031636,20260919031637,435,shared,Dirk Nowitzki,DAL,40,50.0,-10.04,-6.3,-3.7399999999999993,39.96,43.7,-3.740000000000002,2.313421533555698,1.2909944487358054
sample,42,20260919031636,20260919031637,436,shared,Greg Oden,OKC,30,59.0,-0.42,1.21,-1.63,58.58,60.21,-1.6300000000000026,0.9762844427375215,0.7951240294584375
sample,42,20260919031636,20260919031637,446,shared,Zaza Pachulia,CLE,34,54.0,-4.05,-5.24,1.1900000000000004,49.95,48.76,1.1900000000000048,1.8167292177165673,0.9859620743827889
sample,42,20260919031636,20260919031637,451,shared,Tony Parker,OKC,36,57.0,-3.51,-3.43,-0.07999999999999963,53.49,53.57,-0.0799999999999983,1.7609398317117735,1.0754843869934447
sample,42,20260919031636,20260919031637,454,shared,Chris Paul (PO),LAC,33,77.0,-0.47,-0.72,0.25,76.53,76.28,0.25,0.6583573068132101,0.5519478821831502
sample,42,20260919031636,20260919031637,457,shared,Nikola Peković,MEM,32,56.0,-0.76,-1.33,0.5700000000000001,55.24,54.67,0.5700000000000003,1.181678313401594,0.6674994798166928
sample,42,20260919031636,20260919031637,464,shared,Paul Pierce (PO),MIA,41,55.0,-9.7,-5.61,-4.089999999999999,45.3,49.39,-4.090000000000003,1.7837651700316897,1.2382375875543126
sample,42,20260919031636,20260919031637,481,shared,Zach Randolph,OKC,37,52.0,-5.88,-5.19,-0.6899999999999995,46.12,46.81,-0.6900000000000048,3.095385943854844,1.3684393529222487
sample,42,20260919031636,20260919031637,483,shared,JJ Redick,DEN,34,57.0,-1.51,-1.04,-0.47,55.49,55.96,-0.46999999999999886,0.717670192393766,0.6500971178418365
sample,42,20260919031636,20260919031637,493,shared,Nate Robinson,SAC,34,56.0,-1.99,-1.61,-0.3799999999999999,54.01,54.39,-0.38000000000000256,1.2349702486908403,0.665073854788498
sample,42,20260919031636,20260919031637,497,shared,Rajon Rondo (TO),UTA,32,67.0,-0.54,-1.2,0.6599999999999999,66.46,65.8,0.6599999999999966,0.8923920866769471,0.7106690545187013
sample,42,20260919031636,20260919031637,498,shared,Derrick Rose (PO),OKC,30,64.0,-0.03,1.69,-1.72,63.97,65.69,-1.7199999999999989,0.8927881647236969,0.8372031359885668
sample,42,20260919031636,20260919031637,515,shared,Kevin Séraphin (PO),WAS,29,58.0,-0.97,0.18,-1.15,57.03,58.18,-1.1499999999999986,1.6542262984442744,1.5333333333333337
sample,42,20260919031636,20260919031637,516,shared,Ramon Sessions,CHA,32,58.0,-0.74,-1.43,0.69,57.26,56.57,0.6899999999999977,0.8482900209220662,0.6396811074214392
sample,42,20260919031636,20260919031637,519,shared,Iman Shumpert (PO),CHI,28,59.0,-0.57,-0.1,-0.47,58.43,58.9,-0.46999999999999886,0.8791065253018444,1.344648953474775
sample,42,20260919031636,20260919031637,526,shared,Donald Sloan,MIN,30,54.0,-1.77,-1.95,0.17999999999999994,52.23,52.05,0.17999999999999972,2.0978825303412747,1.3361712223190316
sample,42,20260919031636,20260919031637,528,shared,Greg Smith,POR,27,60.0,-0.02,-0.13,0.11,59.98,59.87,0.10999999999999943,1.3852031904337636,0.9603766096293853
sample,42,20260919031636,20260919031637,532,shared,Josh Smith (PO),SAC,33,70.0,-0.16,-0.29,0.12999999999999998,69.84,69.71,0.13000000000000966,0.9180567971690439,0.6558978733019494
sample,42,20260919031636,20260919031637,533,shared,J.R. Smith (PO),WAS,33,58.0,-1.49,-1.7,0.20999999999999996,56.51,56.3,0.21000000000000085,1.1590225767142475,0.6590473688161075
sample,42,20260919031636,20260919031637,536,shared,Tiago Splitter,SAC,33,57.0,-1.72,-1.68,-0.040000000000000036,55.28,55.32,-0.03999999999999915,1.3187076624445235,0.7089613971340489
sample,42,20260919031636,20260919031637,545,shared,Rodney Stuckey (PO),CHI,32,64.0,-1.45,-1.78,0.33000000000000007,62.55,62.22,0.3299999999999983,0.9782999065065412,0.6753973764841082
sample,42,20260919031636,20260919031637,547,shared,Jeff Teague (PO),DET,30,69.0,-0.05,1.15,-1.2,68.95,70.15,-1.2000000000000028,0.8572330399888265,0.6871842709362768
sample,42,20260919031636,20260919031637,553,shared,Isaiah Thomas,DAL,29,55.0,-0.64,-0.1,-0.54,54.36,54.9,-0.5399999999999991,2.096268931779373,1.352140091958976
sample,42,20260919031636,20260919031637,560,shared,Klay Thompson,MIN,28,63.0,-0.64,0.1,-0.74,62.36,63.1,-0.740000000000002,0.8821461433242331,0.674199862463242
sample,42,20260919031636,20260919031637,562,shared,Tristan Thompson,NYK,27,54.0,-0.82,-0.79,-0.029999999999999916,53.18,53.21,-0.030000000000001137,2.826212084659385,1.9451831208750947
sample,42,20260919031636,20260919031637,564,shared,Marcus Thornton (TO),CHI,31,62.0,-0.75,-1.11,0.3600000000000001,61.25,60.89,0.35999999999999943,0.9142530206997327,0.70917507917953
sample,42,20260919031636,20260919031637,580,shared,Greivis Vásquez (PO),MIN,31,61.0,-0.7,-1.5,0.8,60.3,59.5,0.7999999999999972,1.039619199903542,0.6890192121758832
sample,42,20260919031636,20260919031637,585,shared,Dwyane Wade (PO),OKC,36,62.0,-2.54,-2.9,0.3599999999999999,59.46,59.1,0.35999999999999943,0.9890307468333926,0.7977240352174658
sample,42,20260919031636,20260919031637,589,shared,Kemba Walker,WAS,28,69.0,-0.27,0.33,-0.6000000000000001,68.73,69.33,-0.5999999999999943,0.8859737552261323,0.7114503609961949
sample,42,20260919031636,20260919031637,593,shared,John Wall,POR,28,62.0,0.52,1.27,-0.75,62.52,63.27,-0.75,0.8816880045536163,0.6942039987778751
sample,42,20260919031636,20260919031637,604,shared,Russell Westbrook (PO),OKC,30,78.0,0.58,0.62,-0.040000000000000036,78.58,78.62,-0.04000000000000625,0.5717243101956457,0.48783173121456336
sample,42,20260919031636,20260919031637,618,shared,Deron Williams,HOU,34,61.0,-1.76,-1.51,-0.25,59.24,59.49,-0.25,0.8889898932513408,0.6434597143880912
